File,Detection method,X,Y,georef,X_WGS84,Y_WGS84
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-154,0,72.0936286024499,35.805149659802844
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,946,-110,0,74.06880551335539,36.32761199011022
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,1036,-198,0,75.35696436829376,35.28268732949546
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,922,-232,0,73.72529648537183,34.8789664378943
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,808,-140,0,72.0936286024499,35.97138767399155
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,900,-302,0,73.41041320972023,34.047776366950735
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,898,-304,0,73.38178745738827,34.024028079209494
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-346,0,73.21003294339648,33.52531403664336
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,960,-296,0,74.26918577967913,34.11902123017447
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,820,-176,0,72.26538311644168,35.54391849464915
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,886,-334,0,73.21003294339648,33.667803763090824
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,908,-266,0,73.52491621904808,34.47524554629314
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,944,-304,0,74.04017976102342,34.024028079209494
64-2_0069map_2_0__ladakensis_centralis_sculda_chitralensis_asiatica.tif,circle_detection,898,-334,0,73.38178745738827,33.667803763090824
